title,sdgs
Mortality inequalities at retirement age between migrants and non-migrants in Denmark and Sweden,SDG 10
Globalization of Labor Markets and Inequality,SDG 10
Changes in the Distribution of After-Tax Wealth: Has Income Tax Policy Increased Wealth Inequality?,SDG 10
HÖLDER CONTINUITY OF THE SOLUTION MAP TO AN ELLIPTIC OPTIMAL CONTROL PROBLEM WITH MIXED CONSTRAINTS,SDG 10
From Economic Inequality to Economic Freedom: Constitutional Political Economy in the New Gilded Age,SDG 10
"Rising Income Inequality: Technology, or Trade and Financial Globalization?",SDG 10
"Growth, Importsand Inequality: Explaining the Persistently High Trade Deficit in India",SDG 10
Poverty and Inequality,SDG 10
Cohort Change and Racial Differences in Educational and Income Mobility,SDG 10
THE TREND TO WIDENING WEALTH AND INCOME INEQUALITY IN SWEDEN AND ITS CAUSES,SDG 10
Inequalities in maternal pertussis vaccination uptake: a cross-sectional survey of maternity units,SDG 10
"China, Technology and the Rust Belt Blues",SDG 10
Reducing disaster risk across Asia: a work in progress,SDG 10
Gendering inequalities: the case of Irish women,SDG 10
A Choice Mind-Set Increases the Acceptance and Maintenance of Wealth Inequality,SDG 10
Racial inequality in business ownership and income,SDG 10
ESTIMATING THE ECONOMIC BURDEN OF RACIAL HEALTH INEQUALITIES IN THE UNITED STATES,SDG 10
Gender inequality in the labour market of Ukraine: Challenges for the future,SDG 10
The Effect of Inequality Frames on Support for Redistributive Tax Policies,SDG 10
"Educational inequalities in mortality in northern, mid and southern Italy and the contribution of smoking",SDG 10
Absence of socioeconomic inequalities in access to good-quality breast cancer treatment within a population-wide screening programme in Turin (Italy),SDG 10
Building The Movement To End Educational Inequity,SDG 10
"ON INEQUALITY, LAW, AND RESIDENTIAL SEGREGATION: ROUSSEAU’S LINKAGES TO CONTEMPORARY SOCIOLOGY",SDG 10
Employee Inclusivity and Inequality in America: The promises and perils of shared capitalism,SDG 10
"Presidential Leadership, the News Media, and Income Inequality",SDG 10
Modes of Implementation: Country Examples,SDG 10
Optimal Isoperimetric Inequalities,SDG 10
Innovation and Top Income Inequality,SDG 10
The Simultaneous Evolution of Growth and Inequality,SDG 10
Physical and situational inequality on airplanes predicts air rage,SDG 10
Evidence for Public Health Policy on Inequalities: 2: Assembling the Evidence Jigsaw,SDG 10
Mortality inequalities at retirement age between migrants and non-migrants in Denmark and Sweden,SDG 10
"Education, Economic Growth and Measured Income Inequality",SDG 10
Globalization of Labor Markets and Inequality,SDG 10
"Increasing and Decreasing Inequalities of Power: A Processual View. A Response to Cas Wouters, and a Proposal for Clarification",SDG 10
Changes in the Distribution of After-Tax Wealth: Has Income Tax Policy Increased Wealth Inequality?,SDG 10
HÖLDER CONTINUITY OF THE SOLUTION MAP TO AN ELLIPTIC OPTIMAL CONTROL PROBLEM WITH MIXED CONSTRAINTS,SDG 10
"Transparency, Inequity Aversion, and the Dynamics of Peer Pressure in Teams: Theory and Evidence",SDG 10
Introduction to the special collection on family changes and inequality in East Asia,SDG 10
"Health, Inequality, and Economic Development",SDG 10
From Economic Inequality to Economic Freedom: Constitutional Political Economy in the New Gilded Age,SDG 10
Educational inequalities in blood pressure and cholesterol screening in nine European countries,SDG 10
"SUCCESSFUL NEOLIBERALISM?: STATE POLICY, POVERTY, AND INCOME INEQUALITY IN CHILE",SDG 10
A 'Leaky Bucket' in the Real World: Estimating Inequality Aversion using Survey Data,SDG 10
Cost-effectiveness analysis of eliminating industrial and all trans fats in England and Wales: modelling study,SDG 10
"POVERTY, GROWTH, INEQUALITY AND PRO-POOR FACTORS: NEW EVIDENCE FROM MACRO DATA",SDG 10
A Refinement of Popoviciu's Inequality,SDG 10
Gender inequality in social insurance coverage and benefits,SDG 10
Does Globalisation Shape Income Inequality? Empirical Evidence from Selected Developing Countries,SDG 10
Determinants of Inequalities in Cervical Cancer Stage at Diagnosis and Survival in New Zealand,SDG 10
A Reassessment of the Relationship between Inequality and Growth,SDG 10
Tobacco control approaches and inequity—how far have we come and where are we going?,SDG 10
Frictional Labour Mobility,SDG 10
Cross-Country Variation in Adult Skills Inequality: Why Are Skill Levels and Opportunities So Unequal in Anglophone Countries?,SDG 10
"The Effect of After-School Classes on Private Tuition, Mental Health and Academic Outcomes: Evidence from Korea",SDG 10
Imperial Modernity: history and global inequity in rising Asia,SDG 10
Upward and downward bias when measuring inequality of opportunity,SDG 10
Floating Maximally Many Boats: A Preference for the Broad Distribution of Market Benefits,SDG 10
A Relational Inequality Approach to First- and Second-Generation Immigrant Earnings in German Workplaces,SDG 10
Commentary: Reducing HIV Racial/Ethnic Disparities: What’s Good Data Got to Do with It?,SDG 10
Changes in Poverty and Inequality in Developing Countries,SDG 10
Exploring the Complex Associations Among Social Determinants of Health in Andalusia After the 2008 Financial Crisis,SDG 10
Income Transfers and Income Inequality,SDG 10
Health Inequities in the United States: Prospects and Solutions,SDG 10
Using Uncommon Data to Promote Common Ground for Reducing Infant Mortality,SDG 10
The Persistence of Educational Inequalities in State-Socialist Hungary: Trajectory-Maintenance versus Counterselection,SDG 10
Intergenerational Mobility under Private vs. Public Education,SDG 10
Can Political Inequalities Be Educated Away? Evidence from a Large-Scale Reform,SDG 10
Trends in taxes and public spending: 1990–2018,SDG 10
School Consolidation and Inequality,SDG 10
DOUBLING INEQUALITIES FOR THE LAMÉ SYSTEM WITH ROUGH COEFFICIENTS,SDG 10
Inequality in the Labor Market for Native American Women and the Great Recession,SDG 10
"Family Inequality: Diverging Patterns in Marriage, Cohabitation, and Childbearing",SDG 10
Health polarization and inequalities across Europe: an empirical approach,SDG 10
"The Effects of Rent Control Expansion on Tenants, Landlords, and Inequality: Evidence from San Francisco",SDG 10
Estimating Inequality Semi-elasticity of Poverty Reduction in Nigeria,SDG 10
Inequality and inequity in access to health care and treatment for chronic conditions in China: the Guangzhou Biobank Cohort Study,SDG 10
A Global and Diachronic Approach to the Study of Social Fields,SDG 10
Smoking Prevalence Inequalities Among Roma and Non-Roma Population in Spain Between 2006 and 2014,SDG 10
Home Sweet Home? Public Financing and Inequalities in the Use of Home Care Services in Europe,SDG 10
Educational inequalities in obesity and gross domestic product: evidence from 70 countries,SDG 10
American Schooling and Educational Inequality: A Forecast for the 21st Century,SDG 10
"Confronting social exclusion, HIV and gender inequalities in South Africa",SDG 10
"Weathering, Drugs, and Whack-a-Mole: Fundamental and Proximate Causes of Widening Educational Inequity in U.S. Life Expectancy by Sex and Race, 1990–2015",SDG 10
Annex 2: reported urban poverty data for municipalities,SDG 10
Appendix 3: List of organisations interviewed for this study,SDG 10
The Role of Schools in Sustaining Juvenile Justice System Inequality,SDG 10
The Composite Impact of Institutional Quality and Inequality on Economic Growth,SDG 10
"Inequality of Opportunity and Aggregate Economic
                    Performance",SDG 10
"The Social, Spatial, and Economic Roots of Urban Inequality in Africa: Contextualizing Jane Jacobs and Henry George",SDG 10
Growth and Inequality in the Distribution of India's Consumption Expenditure: 1983 to 2009–10,SDG 10
Horizontal Equity and Family Tax Treatment: The Orphan Child of Tax Policy,SDG 10
Residential Mobility and the Reproduction of Unequal Neighborhoods,SDG 10
REGULARIZATION AND ITERATION METHODS FOR A CLASS OF MONOTONE VARIATIONAL INEQUALITIES,SDG 10
Income Inequality and Workers' Powerlessness in Selected OECD Countries,SDG 10
"Technical Change, Wage Inequality, and Taxes",SDG 10
"Globalization and labor market outcomes: de-industrialization, job security, and wage inequalities—introduction by guest editor",SDG 10
Equalities And Inequalities In Health,SDG 10
"Explaining socioeconomic differences in adolescent self-rated health: the contribution of material, psychosocial and behavioural factors",SDG 10
Efficiency-Equality Trade-off within French and German Couples: A Comparative Experimental Study,SDG 10
Cardiovascular screening to reduce the burden from cardiovascular disease: microsimulation study to quantify policy options,SDG 10
School Consolidation and Inequality,SDG 10
DOUBLING INEQUALITIES FOR THE LAMÉ SYSTEM WITH ROUGH COEFFICIENTS,SDG 10
Inequality in the Labor Market for Native American Women and the Great Recession,SDG 10
"Family Inequality: Diverging Patterns in Marriage, Cohabitation, and Childbearing",SDG 10
Health polarization and inequalities across Europe: an empirical approach,SDG 10
"The Effects of Rent Control Expansion on Tenants, Landlords, and Inequality: Evidence from San Francisco",SDG 10
Estimating Inequality Semi-elasticity of Poverty Reduction in Nigeria,SDG 10
Inequality and inequity in access to health care and treatment for chronic conditions in China: the Guangzhou Biobank Cohort Study,SDG 10
A Global and Diachronic Approach to the Study of Social Fields,SDG 10
Smoking Prevalence Inequalities Among Roma and Non-Roma Population in Spain Between 2006 and 2014,SDG 10
Home Sweet Home? Public Financing and Inequalities in the Use of Home Care Services in Europe,SDG 10
Educational inequalities in obesity and gross domestic product: evidence from 70 countries,SDG 10
American Schooling and Educational Inequality: A Forecast for the 21st Century,SDG 10
"Confronting social exclusion, HIV and gender inequalities in South Africa",SDG 10
"Weathering, Drugs, and Whack-a-Mole: Fundamental and Proximate Causes of Widening Educational Inequity in U.S. Life Expectancy by Sex and Race, 1990–2015",SDG 10
Annex 2: reported urban poverty data for municipalities,SDG 10
Appendix 3: List of organisations interviewed for this study,SDG 10
The Role of Schools in Sustaining Juvenile Justice System Inequality,SDG 10
Educational Expansion and Schooling Inequality: Testing Educational Kuznets Curve for India,SDG 10
"Inequality, Social Comparison, and Relative Deprivation",SDG 10
Does the distribution of healthcare utilization match needs in Africa?,SDG 10
Reducing Inequities by Linking Basic Research and Political Action,SDG 10
"Impact of area regeneration policies: performing integral interventions, changing opportunity structures and reducing health inequalities",SDG 10
Suffering from Social Inequality: Normative Implications of Empirical Research on the Effects of Inequality,SDG 10
Academic Undermatch: How General and Specific Cultural Capital Structure Inequality,SDG 10
Institutional Changes and Income Inequality: Some Aspects of Economic Change and Evolution of Values in CEE Countries,SDG 10
"PERSISTENT PLACE-BASED INCOME INEQUALITY IN RURAL NEBRASKA, 1979—2009",SDG 10
Social inequality in education and the use of extramural support services: access and parental experiences in disadvantaged families,SDG 10
A Multisectoral “Layered” Approach,SDG 10
Regulating Equal Pay in Britain: The Equality Act 2010 and Beyond (pp. 41-62),SDG 10
Ethnic Inequality and National Pride,SDG 10
MONITORING SOCIAL DETERMINANTS OF HEALTH INEQUALITIES: THE IMPACT OF UNEMPLOYMENT AMONG VULNERABLE GROUPS,SDG 10
"Redistribution, Sovereign Debt, and Optimal Taxation",SDG 10
Can Foster Care Interventions Diminish Justice System Inequality?,SDG 10
SELF-IMPROVING PROPERTIES FOR ABSTRACT POINCARÉ TYPE INEQUALITIES,SDG 10
HEALTH INEQUALITY IN BANGLADESHI CHILDREN OF AGE 6-59 MONTHS USING HEMOGLOBIN DATA: A NONPARAMETRIC ANALYSIS,SDG 10
Testing the relationship between income inequality and life expectancy: a simple correction for the aggregation effect when using aggregated data,SDG 10
A New Look at Inequality: Introducing and Testing a Cross-Sectional Equality Measurement Framework in New York City,SDG 10
Income Inequality and Distributive Justice: A Comparative Analysis of Mainland China and Hong Kong,SDG 10
"Inequality and Its Sources in Bangladesh, 1991/92 to 1995/96 : An Analysis Based on Household Expenditure Surveys",SDG 10
Reducing social inequalities in health: work-related strategies,SDG 10
The Sharp Quantitative Isoperimetric Inequality,SDG 10
Growing Apart: The Changing Firm-Size Wage Premium and Its Inequality Consequences,SDG 10
"Real inequality in the early modern Low Countries: the city of 's-Hertogenbosch, 1500―1660",SDG 10
"Internal Geography, Labor Mobility, and the Distributional Impacts of Trade",SDG 10
Racial and Ethnic Status Distinctions and Discrimination: The Effects of Prior Contact and Group Interaction,SDG 10
Neoliberalization’s Propagation of Health Inequity in Urban Rebuilding Processes: The Dependence on Context and Path,SDG 10
The distributional consequences of foreign transfers: do they reduce or exacerbate inequality?,SDG 10
Inequality in the long run,SDG 10
The impact of housing conditions on mortality in Belgium (1991–2016),SDG 10
The Role of Financial Development and Economic Misery on Life Expectancy: Evidence from Post Financial Reforms in India,SDG 10
WHICH STAKEHOLDERS ARE INVOLVED IN ADDRESSING SOCIAL AND HEALTH INEQUALITIES WHILE IMPLEMENTING INTERVENTIONS TO TACKLE CHILD STUNTING?,SDG 10
Teaching about inequalities in health care,SDG 10
FEDERAL INEQUALITY AMONG EQUALS: A CONTRACTUALIST DEFENSE,SDG 10
"Health, Wealth and Wisdom: Exploring Multidimensional Inequality in a Developing Country",SDG 10
Redistributing Global Inequality: A Thought Experiment,SDG 10
"CHAPTER 13: Decolonizing the Flesh: The Body, Pedagogy, and Inequality",SDG 10
Global warming has increased global economic inequality,SDG 10
Inequality of opportunity and gender discrimination in China’s labour income (pp. 237-262),SDG 10
Stratification in Higher Education and Its Relationship with Social Inequality: A Comparative Study of 11 European Countries,SDG 10
The Evolution of Educational Inequalities in Spain: Dynamic Evidence from Repeated Cross-Sections,SDG 10
Unequal Use of Social Insurance Benefits: The Role of Employers,SDG 10
A Reduced-Cost Iterated Local Search Heuristic for the Fixed-Charge Transportation Problem,SDG 10
A Schumpeterian Model of Top Income Inequality,SDG 10
Are we all in this together? Longitudinal assessment of cumulative adversities by socioeconomic position in the first 3 weeks of lockdown in the UK,SDG 10
Black Politics: How Anger Influences the Political Actions Blacks Pursue to Reduce Racial Inequality,SDG 10
Educational Expansion and Schooling Inequality: Testing Educational Kuznets Curve for India,SDG 10
"Inequality, Social Comparison, and Relative Deprivation",SDG 10
Soaring Income Gaps: China in Comparative Perspective,SDG 10
Moving Health Education and Behavior Upstream: Lessons From COVID-19 for Addressing Structural Drivers of Health Inequities,SDG 10
Educational achievement (pp. 43-56),SDG 10
Inequalities in Income and Long Term Disability in Spain: Analysis of Recent Hypotheses Using Cross Sectional Study Based on Individual Data,SDG 10
A CHAIN OF MEAN VALUE INEQUALITIES,SDG 10
Marriage and Union Formation in the United States: Recent Trends Across Racial Groups and Economic Backgrounds,SDG 10
An Extension of a Depth Inequality of Auslander,SDG 10
"Putting the public (back) into public health: leadership, evidence and action",SDG 10
Has the Rise in American Inequality Been Exaggerated?,SDG 10
Classifying the population by socioeconomic factors associated with support for policies to reduce social inequalities in health,SDG 10
Pitt's Inequality with Sharp Convolution Estimates,SDG 10
Constitutional change and inequality in Scotland,SDG 10
"How Do Neoliberal Policies Affect Income Inequality? Exploring the Link Between Liberalization, Finance, and Inequality",SDG 10
Assessment of Inequality of Root Hair Density in Arabidopsis thaliana using the Gini Coefficient: a Close Look at the Effect of Phosphorus and its Interaction with Ethylene,SDG 10
Tika technology: an alternative blueprint for digitalisation,SDG 10
Three decades of inequality in neonatal and early childhood mortality in singleton births in Scotland,SDG 10
A Strategy For Tackling Health Inequalities In The Netherlands,SDG 10
Transportation Disadvantage and Neighborhood Sociodemographics: A Composite Indicator Approach to Examining Social Inequalities,SDG 10
Can Social Inclusion Policies Reduce Health Inequalities in Sub-Saharan Africa?—A Rapid Policy Appraisal,SDG 10
"Socioeconomic inequalities in all-cause mortality in the Czech Republic, Russia, Poland and Lithuania in the 2000s: findings from the HAPIEE Study",SDG 10
Taking empirical studies seriously: the principle of concentration and the measurement of welfare and inequality,SDG 10
"Real inequality in the early modern Low Countries: the city of 's-Hertogenbosch, 1500―1660",SDG 10
"Internal Geography, Labor Mobility, and the Distributional Impacts of Trade",SDG 10
Racial and Ethnic Status Distinctions and Discrimination: The Effects of Prior Contact and Group Interaction,SDG 10
Neoliberalization’s Propagation of Health Inequity in Urban Rebuilding Processes: The Dependence on Context and Path,SDG 10
Social Inequality in Adolescent Life Satisfaction: Comparison of Measure Approaches and Correlation with Macro-level Indices in 41 Countries,SDG 10
"Mortality, Fertility, and Persistent Income Inequality",SDG 10
REDUCING THE HARMFUL USE OF ALCOHOL: A PUBLIC HEALTH IMPERATIVE,SDG 10
Inequality in Life Spans and a New Perspective on Mortality Convergence across Industrialized Countries,SDG 10
"Finance, Inequality and the Poor",SDG 10
"Unions and wage inequality: The roles of gender, skill and public sector employment",SDG 10
"Crime, the Criminal Justice System, and Socioeconomic Inequality",SDG 10
HOUSE PRICES AND CONSUMPTION INEQUALITY,SDG 10
INEQUALITY AND THE SEDUCTIONS OF FALSE COMMUNITY,SDG 10
"Endogenous Growth, Inequality and the Composition of Government Expenditures",SDG 10
Introductory Essay: Social inequalities and urban restructuring,SDG 10
Accelerating Reading Inequities in the Early Years,SDG 10
Preschool education as the great equalizer? A cross-country study into the sources of inequality in reading competence,SDG 10
Impact of free access to leisure facilities and community outreach on inequalities in physical activity: a quasi-experimental study,SDG 10
"Inequality, Wealth and Health: Is Decreasing Income Inequality the Key to Create Healthier Societies?",SDG 10
"Incarceration, Inequality, and Imagining Alternatives",SDG 10
Inequality in Canada: Symposium introduction,SDG 10
"Extragradient Algorithms for Variational Inequality, Fixed Point and Generalized Mixed Equilibrium Problems",SDG 10
Unit-Consistent Decomposable Inequality Measures,SDG 10
Protecting the Most Vulnerable: Policy Response and Eviction Filing Patterns During the COVID-19 Pandemic,SDG 10
Left in the Dark? Oil and Rural Poverty,SDG 10
Climate Impact Assessments With a Lens on Inequality,SDG 10
Promoting health by addressing living conditions in Norwegian municipalities,SDG 10
It is the lifetime that matters: public preferences over maximising health and reducing inequalities in health,SDG 10
Measures of Health Inequalities: Part 2,SDG 10
"Inequality, Transfers, and Growth: New Evidence from the Economic Transition in Poland",SDG 10
Policies to reduce air pollution from household heating,SDG 10
Income Inequality and Class Divides in Parental Investments,SDG 10
Land Inequality and Rural Unrest: Theory and Evidence from Brazil,SDG 10
Income Inequality and Depression: The Role of Social Comparisons and Coping Resources,SDG 10
"DYNAMIC STATUS EFFECTS, SAVINGS, AND INCOME INEQUALITY",SDG 10
Reducing health inequalities in priority public health conditions: using rapid review to develop proposals for evidence-based policy,SDG 10
Changes in the Distribution of After-Tax Wealth in the US: Has Income Tax Policy Increased Wealth Inequality?,SDG 10
Inequality in Social Capital,SDG 10
Gender Inequalities in Noncommunicable Disease Risk Factors Among Indonesian Urban Population,SDG 10
"SKILLS INEQUALITY, ADULT LEARNING AND SOCIAL COHESION IN THE UNITED KINGDOM",SDG 10
Trade boom and wage inequality: evidence from Ugandan districts,SDG 10
Monetary Policy and Inequality,SDG 10
Who are Your Joneses? Socio-Specific Income Inequality and Trust,SDG 10
Space and Inequality: A Case Study of Territorial Development in Santa Catarina,SDG 10
"Parental Preference, Heterogeneity, and Human Capital Inequality",SDG 10
Inequality in Education in India,SDG 10
Labour Market Institutions and the Personal Distribution of Income in the OECD,SDG 10
Income-related inequalities in visual impairment and eye screening services in patients with type 2 diabetes,SDG 10
Economic inequality caused by feedbacks between poverty and the dynamics of a rare tropical disease: the case of Buruli ulcer in sub-Saharan Africa,SDG 10
Increasing the Minimum Wage with the State as Employer of Last Resort: A “Predistribution” Proposal for Mexico,SDG 10
The fall and rise of inequality in New Zealand (pp. 25-48),SDG 10
Health reform in El Salvador: a lost opportunity for reducing health inequity and social exclusion?,SDG 10
Who’s on Top? Gender Differences in Risk-Taking Produce Unequal Outcomes for High-Ability Women and Men,SDG 10
BEYOND ROSE'S STRATEGIES: A TYPOLOGY OF SCENARIOS OF POLICY IMPACT ON POPULATION HEALTH AND HEALTH INEQUALITIES,SDG 10
"What’s Policy Got to Do with It? Race, Gender & Economic Inequality in the United States",SDG 10
Appendix 2: Matrix of fiscal policy instruments and design considerations,SDG 10
Political relationships,SDG 10
Member State commitments,SDG 10
Were wages converging during the 2010s expansion?,SDG 10
"Addressing Inequality through Bold Spatial Interventions: The Case of the Corridors of Freedom in Johannesburg, South Africa",SDG 10
A Generalized Poincaré Inequality for Gaussian Measures,SDG 10
Mass Imprisonment and Economic Inequality,SDG 10
“Superstar Cities” & the Generation of Durable Inequality,SDG 10
